#complex,groundtruth,sub-expression
(~(x&(11*(a&b)+11*(a&~b)-11*(a|~b)+1*~(a&~b)+10*~(a|b))))-1*(~(x&~x))+(11*(a&b)+11*(a&~b)-11*(a|~b)+1*~(a&~b)+10*~(a|b))-1*~(11*(a&b)+11*(a&~b)-11*(a|~b)+1*~(a&~b)+10*~(a|b))+(x^(11*(a&b)+11*(a&~b)-11*(a|~b)+1*~(a&~b)+10*~(a|b)))+(x|(11*(a&b)+11*(a&~b)-11*(a|~b)+1*~(a&~b)+10*~(a|b)))-4*(~(x|~(11*(a&b)+11*(a&~b)-11*(a|~b)+1*~(a&~b)+10*~(a|b))))-1*(x&~(11*(a&b)+11*(a&~b)-11*(a|~b)+1*~(a&~b)+10*~(a|b)))-2*(x&(11*(a&b)+11*(a&~b)-11*(a|~b)+1*~(a&~b)+10*~(a|b))),-(~(x&~b)),(11*(a&b)+11*(a&~b)-11*(a|~b)+1*~(a&~b)+10*~(a|b))
(~((-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))&~(-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))))-1*(-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))+~y+(~((-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))&y))+y+~(-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))-1*(~((-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))&~y))+((-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))|y)-3*(~((-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))|y))-6*(~((-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))|~y))-5*((-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))&~y)-1*((-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))&y),-2*(a^y),(-2*(a&~b)-2*b+3*~(a&~a)-3*~(a|b)-1*~(a|~b))
(x|~(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b)))+(x^(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b)))-4*(~(x&(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b))))-1*(x|(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b)))+~x-1*(~(x&~x))-1*(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b))+~(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b))+3*(~(x|(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b))))+6*(~(x|~(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b))))+3*(x&~(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b)))+3*(x&(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b))),1*(~(x&~b)),(-3*(a&b)-4*(a&~b)-1*(a|~b)+5*a+1*~(a|b)+1*~(a|~b))
-1*((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))^y)+2*(~((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))&~y))+2*(~((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))&y))+2*(~((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))^y))-1*~y+((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))|y)+(~((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))&~(4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))))-1*((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))|~y)+y-4*(~((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))|y))-5*(~((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))|~y))-1*((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))&~y)-6*((4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))&y),1*~a,(4*(a&b)+2*(a&~b)-1*~(a&b)-3*~(a&~b)+4*~(a|b)+4*~(a|~b))
-1*(~(x&~x))-2*~(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b))-1*x-1*(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b))+(x|(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b)))+(x|~(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b)))-1*(~(x&~(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b))))+5*(~(x|(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b))))+4*(~(x|~(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b))))+3*(x&~(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b)))+2*(x&(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b))),1*(~(x&b))+1*~x,(2*(a&b)-7*(a&~b)+7*(a^b)-1*~(a^b)+1*~(a|b)-6*~(a|~b))
2*((4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))^y)-1*~(4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))-4*(~((4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))^y))-1*~y+2*(~((4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))&~(4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))))-1*(4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))+2*(~((4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))&y))+2*(~((4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))|y))-4*(~((4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))|~y))-3*((4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))&~y)+4*((4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))&y),1*(a|y),(4*(a&b)+3*(a&~b)-2*(a|b)-1*~(a&~b)+1*~(a|b)+3*~(a|~b))
~x-1*(x|~(7*(a&b)-1*(a&~b)+1*(a|b)-7*~(a&~b)+7*~(a|b)+7*~(a|~b)))-1*(x|(7*(a&b)-1*(a&~b)+1*(a|b)-7*~(a&~b)+7*~(a|b)+7*~(a|~b)))-2*(~(x^(7*(a&b)-1*(a&~b)+1*(a|b)-7*~(a&~b)+7*~(a|b)+7*~(a|~b))))+(x^(7*(a&b)-1*(a&~b)+1*(a|b)-7*~(a&~b)+7*~(a|b)+7*~(a|~b)))-3*(~(x|~(7*(a&b)-1*(a&~b)+1*(a|b)-7*~(a&~b)+7*~(a|b)+7*~(a|~b))))-1*(x&~(7*(a&b)-1*(a&~b)+1*(a|b)-7*~(a&~b)+7*~(a|b)+7*~(a|~b)))+2*(x&(7*(a&b)-1*(a&~b)+1*(a|b)-7*~(a&~b)+7*~(a|b)+7*~(a|~b))),-2*(~(x&~x)),(7*(a&b)-1*(a&~b)+1*(a|b)-7*~(a&~b)+7*~(a|b)+7*~(a|~b))
-1*~y+y-1*(~((4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))&~(4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))))-1*(~((4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))&y))+(~((4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))^y))-2*((4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))|~y)-1*(4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))+~(4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))+3*(~((4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))|y))-1*(~((4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))|~y))+5*((4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))&~y)+3*((4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))&y),1*(a|y)-2*(a^y),(4*(a&b)-1*(a&~b)+5*(a^b)-3*(a|b)-2*~(a|~b))
(~(x^(12*(a&b)+11*(a&~b)-5*(a|b)-6*a+6*~(a|~b))))-1*~x+~(12*(a&b)+11*(a&~b)-5*(a|b)-6*a+6*~(a|~b))+(x|(12*(a&b)+11*(a&~b)-5*(a|b)-6*a+6*~(a|~b)))+(~(x&(12*(a&b)+11*(a&~b)-5*(a|b)-6*a+6*~(a|~b))))-1*(~(x|(12*(a&b)+11*(a&~b)-5*(a|b)-6*a+6*~(a|~b))))-2*(~(x|~(12*(a&b)+11*(a&~b)-5*(a|b)-6*a+6*~(a|~b))))-2*(x&~(12*(a&b)+11*(a&~b)-5*(a|b)-6*a+6*~(a|~b)))-2*(x&(12*(a&b)+11*(a&~b)-5*(a|b)-6*a+6*~(a|~b))),1*(x|~b)-b,(12*(a&b)+11*(a&~b)-5*(a|b)-6*a+6*~(a|~b))
2*((5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))|y)+(~((5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))^y))-1*((5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))^y)+(~((5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))&~(5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))))+(5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))-1*(~((5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))|y))-4*(~((5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))|~y))-2*((5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))&~y)-7*((5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))&y),1*~y-2*y,(5*(a&b)+5*(a&~b)-1*(a|~b)-3*a+1*~(a|b))
-1*(x|~(-1*(a&~b)-1*(a|~b)+2*a+1*~(a|b)+1*~(a|~b)))-1*~x-2*(~(x&~x))-1*x-2*(x^(-1*(a&~b)-1*(a|~b)+2*a+1*~(a|b)+1*~(a|~b)))-1*(~(x^(-1*(a&~b)-1*(a|~b)+2*a+1*~(a|b)+1*~(a|~b))))+5*(~(x|(-1*(a&~b)-1*(a|~b)+2*a+1*~(a|b)+1*~(a|~b))))+7*(~(x|~(-1*(a&~b)-1*(a|~b)+2*a+1*~(a|b)+1*~(a|~b))))+8*(x&~(-1*(a&~b)-1*(a|~b)+2*a+1*~(a|b)+1*~(a|~b)))+7*(x&(-1*(a&~b)-1*(a|~b)+2*a+1*~(a|b)+1*~(a|~b))),2*(x|b),(-1*(a&~b)-1*(a|~b)+2*a+1*~(a|b)+1*~(a|~b))
2*(3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))-1*(~((3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))&~(3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))))+(~((3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))^y))+y-1*((3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))|~y)+4*((3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))|y)+4*(~((3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))|y))-1*(~((3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))|~y))-1*((3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))&~y)-6*((3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))&y),3*(~(a&y)),(3*(a&b)+1*(a|b)-3*~(a^b)+3*~(a|b)-1*~(a|~b))
-2*(x^(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b)))+2*(~(x^(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b))))-1*(x|(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b)))-2*~(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b))+2*~x+(~(x&~(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b))))+(x|~(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b)))-3*(~(x|(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b))))+1*(~(x|~(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b))))+5*(x&~(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b)))-2*(x&(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b))),1*(~(x&~x)),(1*(a&b)+1*(a|b)-1*~(a&~a)+1*~(a|b)+1*~(a|~b))
-1*(6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))+~(6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))+~y+(~((6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))&~(6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))))+2*((6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))^y)-1*((6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))|y)+2*(~((6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))&~y))+(~((6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))^y))-5*(~((6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))|y))-5*(~((6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))|~y))-1*((6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))&~y)-1*((6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))&y),1*(a|~y),(6*(a&b)+2*(a&~b)-1*(a^b)-5*~(a^b)+5*~(a|b)+1*~(a|~b))
-1*(~(x&~x))-2*(~(x&~(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b))))-1*(~(x^(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b))))-2*(x|(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b)))+(x|~(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b)))-1*~(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b))+4*(~(x|(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b))))+6*(~(x|~(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b))))+4*(x&~(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b)))+5*(x&(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b))),1*(x^b),(-1*(a&b)-2*b+4*~(a&~b)-4*~(a|b)-1*~(a|~b))
~y+(~((6*(a&b)+2*(a&~b)-5*b-1*~(a&b)+1*~(a|b)+6*~(a|~b))&~y))+2*(6*(a&b)+2*(a&~b)-5*b-1*~(a&b)+1*~(a|b)+6*~(a|~b))+((6*(a&b)+2*(a&~b)-5*b-1*~(a&b)+1*~(a|b)+6*~(a|~b))|y)-1*~(6*(a&b)+2*(a&~b)-5*b-1*~(a&b)+1*~(a|b)+6*~(a|~b))+2*(~((6*(a&b)+2*(a&~b)-5*b-1*~(a&b)+1*~(a|b)+6*~(a|~b))|y))+1*(~((6*(a&b)+2*(a&~b)-5*b-1*~(a&b)+1*~(a|b)+6*~(a|~b))|~y))-1*((6*(a&b)+2*(a&~b)-5*b-1*~(a&b)+1*~(a|b)+6*~(a|~b))&~y)-3*((6*(a&b)+2*(a&~b)-5*b-1*~(a&b)+1*~(a|b)+6*~(a|~b))&y),2*(~(a&y))+1*(a|~y),(6*(a&b)+2*(a&~b)-5*b-1*~(a&b)+1*~(a|b)+6*~(a|~b))
(x|(-2*(a&b)+2*(a&~b)-2*~(a&b)+3*~(a&~b)-1*~(a|b)))-1*(x^(-2*(a&b)+2*(a&~b)-2*~(a&b)+3*~(a&~b)-1*~(a|b)))+(~(x&~(-2*(a&b)+2*(a&~b)-2*~(a&b)+3*~(a&~b)-1*~(a|b))))-1*(x|~(-2*(a&b)+2*(a&~b)-2*~(a&b)+3*~(a&~b)-1*~(a|b)))-1*x+(-2*(a&b)+2*(a&~b)-2*~(a&b)+3*~(a&~b)-1*~(a|b))+1*(~(x|(-2*(a&b)+2*(a&~b)-2*~(a&b)+3*~(a&~b)-1*~(a|b))))-2*(~(x|~(-2*(a&b)+2*(a&~b)-2*~(a&b)+3*~(a&~b)-1*~(a|b))))+2*(x&~(-2*(a&b)+2*(a&~b)-2*~(a&b)+3*~(a&~b)-1*~(a|b))),1*(~(x^b)),(-2*(a&b)+2*(a&~b)-2*~(a&b)+3*~(a&~b)-1*~(a|b))
-1*(~((4*(a&b)+1*(a&~b)-3*~(a^b)+8*~(a|b)+5*~(a|~b)-5*~a)&y))+2*((4*(a&b)+1*(a&~b)-3*~(a^b)+8*~(a|b)+5*~(a|~b)-5*~a)|~y)-1*((4*(a&b)+1*(a&~b)-3*~(a^b)+8*~(a|b)+5*~(a|~b)-5*~a)|y)-2*y-1*((4*(a&b)+1*(a&~b)-3*~(a^b)+8*~(a|b)+5*~(a|~b)-5*~a)^y)+~y-1*(~((4*(a&b)+1*(a&~b)-3*~(a^b)+8*~(a|b)+5*~(a|~b)-5*~a)|y))+7*(~((4*(a&b)+1*(a&~b)-3*~(a^b)+8*~(a|b)+5*~(a|~b)-5*~a)|~y)),-(~(a^y))+2*~a,(4*(a&b)+1*(a&~b)-3*~(a^b)+8*~(a|b)+5*~(a|~b)-5*~a)
2*~(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b))+(x|~(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b)))+(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b))-2*(x^(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b)))-1*(x|(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b)))+(~(x&~x))+(~(x&~(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b))))-1*~x-5*(~(x|(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b))))-2*(x&~(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b)))-3*(x&(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b))),-(~(x&b)),(6*(a&b)-1*(a&~b)-5*b+1*~(a&b)-1*~(a|b)+5*~(a|~b))
-1*(~((1*(a&b)+1*(a^b)-4*~(a|b)-5*~(a|~b)+4*~a)&y))+(~((1*(a&b)+1*(a^b)-4*~(a|b)-5*~(a|~b)+4*~a)&~y))+4*(~((1*(a&b)+1*(a^b)-4*~(a|b)-5*~(a|~b)+4*~a)^y))-1*y-1*((1*(a&b)+1*(a^b)-4*~(a|b)-5*~(a|~b)+4*~a)|y)-5*(~((1*(a&b)+1*(a^b)-4*~(a|b)-5*~(a|~b)+4*~a)|y))+2*(~((1*(a&b)+1*(a^b)-4*~(a|b)-5*~(a|~b)+4*~a)|~y))+2*((1*(a&b)+1*(a^b)-4*~(a|b)-5*~(a|~b)+4*~a)&~y)-3*((1*(a&b)+1*(a^b)-4*~(a|b)-5*~(a|~b)+4*~a)&y),1*a-(a|~y),(1*(a&b)+1*(a^b)-4*~(a|b)-5*~(a|~b)+4*~a)
-1*(~(x^(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b))))-1*x-2*(~(x&~(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b))))+(~(x&~x))-1*(x|(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b)))+(~(x&(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b))))-1*~x-1*(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b))+~(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b))+2*(~(x|(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b))))+3*(~(x|~(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b))))+6*(x&(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b))),1*(x|~b),(-4*(a&b)+6*(a&~b)-6*(a^b)+5*b+2*~(a|~b))
(~((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&y))+2*(~((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)^y))-2*((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)|y)-2*((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)^y)+y-1*~y+(~((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&~(-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)))-1*((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)|~y)+3*(~((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)|y))+6*(~((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)|~y))+4*((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&~y)-1*((-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)&y),5*~a,(-10*(a&b)-12*(a&~b)+11*a-2*~(a|b)+2*~b)
(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b))-1*(x|~(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b)))-2*(x|(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b)))+5*~(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b))+(~(x&(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b))))+(~(x^(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b))))-5*(~(x|(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b))))+2*(~(x|~(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b))))-2*(x&~(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b)))+1*(x&(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b))),1*~x+1*(x^b),(8*(a&b)+11*(a&~b)-11*(a|b)+4*~(a&~b)-4*~(a|b)+8*~(a|~b))
-2*(~((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))&~y))+((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))^y)-2*y+4*~y-3*(~((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))|y))+2*(~((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))|~y))-3*((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))&~y)+7*((10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))&y),3*a-(~(a&y)),(10*(a&b)+1*(a&~b)-11*b+2*~(a^b)-2*~(a|b)+11*~(a|~b))
2*(x|~(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b)))-1*(x|(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b)))-2*x+2*(~(x^(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))))-2*~x-1*(~(x&(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))))-1*(~(x&~x))-2*(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))-2*(~(x|(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))))+6*(~(x|~(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))))+4*(x&~(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))),-2*(~(x&~b))+1*(x^b),(12*(a&b)+14*(a&~b)-11*(a|b)-3*~(a&b)+3*~(a|b)+15*~(a|~b))
